"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"480",8,1290,2.91e+09,3.99e+09,2.45e+08,60100000,4420,93.8,93.8,93.8
"481",8,1293,3.97e+09,5.9e+09,64400000,1770000,19800,212,93.8,453
"482",8,1302,1.38e+09,2.24e+09,2.7e+07,928000,765,93.8,93.8,93.8
"483",8,1315,7.61e+08,5.11e+09,9e+07,64300000,216,93.8,93.8,93.8
"484",8,1338,8.41e+08,1.15e+09,47700000,54700000,873,93.8,93.8,93.8
"485",8,1343,8.42e+08,3.03e+09,74100000,94100000,2370,93.8,93.8,93.8
"162",9,0,5.69e+08,56500000,9840000,1.77e+09,1.45e+09,93.8,161,3610000
"163",9,11,1.71e+09,5.94e+08,25700000,2.32e+09,8.19e+08,93.8,93.8,416000
"164",9,18,1.15e+09,1.26e+08,13200000,2.26e+09,1.31e+09,93.8,93.8,1720000
"165",9,29,1.49e+09,2.74e+08,17600000,2.35e+09,1.04e+09,93.8,125,829000
"166",9,43,3.13e+09,5.82e+08,22400000,2.74e+09,4.23e+08,93.8,154,369000
"167",9,50,2.06e+09,7.49e+08,28600000,2.06e+09,3.96e+08,93.8,93.8,181000
"168",9,57,2.52e+09,5.97e+08,19600000,1.4e+09,1.9e+08,93.8,101,88700
"169",9,59,9.7e+08,1.66e+09,29400000,7.46e+08,37300000,93.8,93.8,16200
"170",9,69,8.75e+08,7.53e+08,27500000,1.49e+09,66600000,93.8,93.8,29800
"171",9,75,1.63e+09,1.22e+09,20500000,1.11e+09,64300000,93.8,181,98400
"172",9,92,3.03e+09,1.37e+09,59700000,5.47e+08,57200000,93.8,93.8,14800
"173",9,99,1.95e+09,1.75e+08,17500000,5.79e+08,4.4e+07,93.8,93.8,4620
"174",9,106,1.27e+09,2.69e+08,2.4e+07,1.52e+09,1.62e+08,93.8,93.8,4930
"175",9,118,9.7e+08,4.82e+08,35500000,4.73e+09,6.45e+08,93.8,93.8,17000
"176",9,124,1.27e+09,73100000,9710000,1.62e+09,1.29e+08,93.8,93.8,656
"177",9,130,3.94e+08,49500000,18500000,2.36e+09,59400000,93.8,93.8,127
"178",9,138,1.05e+09,2.98e+08,41300000,4.3e+09,1.29e+08,93.8,93.8,649
"179",9,147,1.99e+09,5.34e+08,42300000,3.06e+09,70800000,93.8,93.8,206
"180",9,154,8.92e+08,6.86e+08,59400000,2.46e+09,31600000,93.8,93.8,1490
"181",9,162,2.11e+09,7.88e+08,47600000,2.37e+09,64800000,93.8,93.8,208000
"182",9,170,5.36e+08,9.37e+08,40700000,1.18e+09,2.3e+07,93.8,93.8,38200
"183",9,179,5.35e+08,1.42e+09,77400000,1.37e+09,14600000,93.8,93.8,7540
"184",9,186,4.94e+08,1.26e+09,55300000,1.12e+09,34100000,93.8,93.8,22000
"185",9,195,2.26e+09,2.07e+09,39900000,5.83e+08,17300000,93.8,93.8,33900
"186",9,203,93300000,1.9e+07,522000,3690000,1030000,93.8,93.8,12800
"187",9,210,5.76e+09,5.65e+08,59300000,9.72e+08,94200000,93.8,93.8,79000
"188",9,217,1.09e+10,2.63e+09,1.29e+08,4.98e+09,1.06e+08,93.8,93.8,19300
"189",9,225,1.08e+09,1.44e+09,74400000,1.92e+09,42700000,93.8,93.8,4680
"190",9,235,1.21e+09,1.03e+09,93500000,1.49e+09,46800000,93.8,93.8,11700
"191",9,241,4.35e+09,1.94e+09,94500000,1.43e+09,22200000,93.8,93.8,23600
"192",9,247,1.97e+09,3.5e+09,46100000,1.37e+09,45800000,93.8,195,54900
"193",9,251,3.06e+09,3e+09,39800000,2.81e+09,32100000,93.8,93.8,2030
"194",9,263,4.46e+09,3.62e+08,12100000,4.85e+08,16400000,93.8,209,8730
"195",9,269,7.66e+09,2.91e+09,57700000,4.12e+09,72600000,93.8,153,11400
"196",9,284,1.32e+09,2.12e+09,50300000,2.59e+09,19900000,93.8,93.8,920
"197",9,291,2.57e+09,2.22e+09,51600000,2.16e+09,10800000,93.8,93.8,857
"198",9,299,1.03e+10,1.94e+09,32400000,2.45e+09,3540000,93.8,93.8,190
"199",9,306,7.8e+09,1.84e+09,38500000,4.42e+09,11700000,93.8,93.8,164
"200",9,319,2.79e+09,1.34e+09,19200000,1.57e+09,2910000,93.8,93.8,93.8
"201",9,322,2.24e+09,3.41e+09,46700000,1.67e+09,1230000,93.8,93.8,93.8
"202",9,331,2.92e+09,2.38e+09,37200000,1.04e+09,2840000,93.8,93.8,93.8
"203",9,338,3.02e+09,2.57e+09,25500000,7.6e+08,2430000,93.8,93.8,2660
"204",9,346,3.31e+09,3.86e+09,29600000,4.78e+08,601000,93.8,93.8,557
"205",9,354,2.97e+09,3.54e+09,40100000,5.41e+08,3330000,93.8,93.8,8560
"206",9,360,2.25e+09,4.61e+09,31200000,1.33e+08,844000,93.8,93.8,4510
"207",9,366,1.29e+09,4.4e+09,54200000,93400000,761000,93.8,93.8,1030
"208",9,380,1.22e+10,4.53e+09,38900000,3.39e+08,56600000,93.8,93.8,9050
"209",9,386,1.32e+10,4.66e+09,57300000,3.53e+08,39700000,93.8,93.8,2240
"210",9,391,2.36e+09,4.65e+08,10500000,2.32e+08,18500000,93.8,93.8,947
"211",9,403,6.9e+09,2.07e+09,78600000,4.78e+08,43600000,93.8,93.8,1810
"212",9,410,3.97e+09,2.12e+09,2.8e+07,8.4e+07,10400000,93.8,93.8,6720
"213",9,419,3.5e+09,1.69e+09,17100000,71600000,3540000,93.8,93.8,8620
"214",9,429,8.92e+09,4.22e+09,1.16e+08,95700000,2850000,93.8,93.8,5230
"215",9,436,2.6e+09,1.98e+09,51300000,1.21e+08,2640000,93.8,93.8,4440
"216",9,443,8.03e+09,4.1e+09,58700000,3.4e+08,4550000,93.8,93.8,2240
"217",9,451,3.89e+09,2.24e+09,33800000,1.26e+08,3770000,93.8,93.8,2530
"218",9,457,4.77e+09,2.23e+09,30200000,3.04e+08,31200000,93.8,763,105000
"219",9,464,2.59e+09,7.87e+08,13700000,2.95e+08,65200000,93.8,2640,293000
"220",9,476,8.56e+09,4.14e+09,49900000,1.08e+09,2.72e+08,93.8,10700,3e+06
"221",9,482,1.96e+09,1.55e+09,19200000,2.68e+08,77700000,93.8,13900,789000
"222",9,498,93700000,2.7e+09,47700000,5.41e+08,2.33e+08,93.8,3590,1490000
"223",9,505,3.71e+09,1.83e+09,26400000,1.8e+08,54400000,93.8,5670,328000
"224",9,512,4.18e+09,2.9e+09,65300000,3.67e+08,79600000,93.8,876,211000
"225",9,522,1.9e+09,4.14e+09,62900000,6.91e+08,2.13e+08,93.8,8930,1050000
"226",9,528,6.57e+08,3.02e+09,55800000,4.01e+08,33800000,93.8,5350,228000
"227",9,536,9.36e+08,2.69e+09,45300000,2.94e+08,26100000,93.8,3800,69600
"228",9,546,1.39e+09,3.38e+09,64800000,4.38e+08,21500000,93.8,1080,29200
"229",9,552,1.82e+08,3.58e+09,45100000,1.57e+08,29600000,93.8,145,16800
"230",9,560,2.23e+09,1.97e+09,37300000,3.22e+08,2.7e+07,93.8,8400,109000
"231",9,573,1.81e+09,4.6e+09,44100000,5.05e+08,69200000,93.8,855,84700
"232",9,581,3.04e+09,3.53e+09,49500000,5.88e+08,47800000,93.8,477,46200
"233",9,587,2.42e+09,3.62e+09,62500000,5.44e+08,39400000,93.8,146,15200
"234",9,596,4.8e+09,3.23e+09,33900000,1.11e+09,54900000,93.8,153,24100
"235",9,603,3.94e+09,3.17e+09,24300000,3.48e+08,38800000,93.8,669,39800
"236",9,611,1.78e+09,4.26e+09,57400000,1.29e+09,60500000,93.8,132,30100
"237",9,621,6.5e+08,3.07e+09,7.6e+07,1.56e+09,2.13e+08,93.8,93.8,108000
"238",9,627,2.07e+09,2.01e+09,17400000,1.83e+08,19800000,93.8,102,24800
"239",9,635,7.73e+09,4.39e+09,24400000,7.27e+08,2.1e+07,93.8,93.8,10400
"240",9,645,4.65e+08,2.59e+09,50600000,6.03e+08,22200000,93.8,93.8,15400
"241",9,653,2.67e+09,3.49e+09,52400000,4.44e+08,19800000,93.8,93.8,39700
"242",9,659,1.55e+09,2.4e+09,55800000,2.42e+08,18700000,93.8,93.8,27400
"243",9,666,3.18e+09,3.26e+09,56200000,4.92e+08,32900000,93.8,2610,210000
"244",9,673,1.72e+09,3.21e+09,37200000,1.11e+08,79700000,93.8,93.8,24400
"245",9,680,2.06e+09,4.14e+09,31500000,83100000,50400000,93.8,93.8,6050
"246",9,690,2.96e+09,2.82e+09,18700000,1.56e+08,57300000,93.8,93.8,10900
"247",9,699,2.7e+09,2.41e+09,12800000,27100000,38700000,93.8,93.8,16300
"248",9,705,2.99e+09,3.31e+09,7950000,47600000,20900000,93.8,4320,176000
"249",9,714,1.6e+09,3.67e+09,17500000,4.7e+07,12800000,93.8,107,16000
"250",9,721,1.97e+09,4.12e+09,12800000,17700000,6170000,93.8,222,8350
"251",9,730,1.21e+09,3.4e+09,13200000,4710000,4850000,93.8,93.8,21200
"252",9,739,2.72e+09,3.86e+09,17100000,19400000,3820000,93.8,93.8,34700
"253",9,745,2.36e+09,1.64e+09,5210000,11100000,1230000,93.8,102,27800
"254",9,754,2.09e+09,3.49e+09,7050000,34900000,2830000,93.8,255,60500
"255",9,764,3.21e+09,1.49e+09,6180000,4330000,12100000,93.8,118,962
"256",9,771,8.95e+09,5.67e+09,18800000,21200000,54600000,93.8,93.8,1570
"257",9,779,7.41e+09,4.03e+09,34700000,79900000,4.83e+08,93.8,93.8,1580
"258",9,789,4.67e+09,1.71e+09,41700000,1.07e+08,3.96e+08,93.8,93.8,2440
"259",9,795,4.82e+09,1.36e+09,36800000,3.19e+08,5.21e+08,93.8,93.8,1320
"260",9,802,3.04e+09,4.51e+09,95600000,6.46e+08,5.18e+08,93.8,93.8,786
"261",9,811,8.73e+08,91700000,76100000,4.06e+08,4.82e+08,93.8,93.8,915
"262",9,818,6.41e+08,2.07e+09,75700000,1.92e+08,4.98e+08,93.8,93.8,576
"263",9,826,5.66e+08,3.45e+09,84300000,1.47e+08,7.41e+08,93.8,93.8,923
"264",9,834,1.36e+09,4e+09,84100000,2.4e+08,5.79e+08,93.8,93.8,1850
"265",9,842,1.43e+09,2.65e+09,57400000,31100000,3.26e+08,93.8,93.8,698
"266",9,850,2.82e+09,3.83e+09,77400000,1.33e+08,2.21e+08,93.8,93.8,1010
"267",9,859,6.53e+08,3.36e+09,53200000,1.32e+08,1.64e+08,93.8,93.8,327000
"268",9,867,1.09e+09,3.42e+09,53400000,57700000,50900000,93.8,93.8,1460
"269",9,874,7.13e+08,3.7e+09,22600000,16300000,20600000,93.8,93.8,2880
"270",9,882,1.31e+09,3.13e+09,18400000,27100000,11100000,93.8,93.8,21200
"271",9,889,2.21e+08,2.69e+09,11600000,13500000,6010000,93.8,93.8,16900
"272",9,898,1.13e+09,3.77e+09,13600000,33200000,5820000,93.8,93.8,7450
"273",9,906,3.25e+08,3.6e+09,13300000,28800000,2640000,93.8,93.8,5990
"274",9,912,1.56e+09,2.6e+09,6690000,28500000,2620000,93.8,93.8,11000
"275",9,918,1.6e+09,5.71e+09,8380000,16900000,2060000,93.8,93.8,7380
"276",9,1147,1.57e+09,3.88e+08,1.45e+08,3.35e+09,4510000,93.8,93.8,2580
"277",9,1154,7.24e+08,78300000,11800000,5.95e+08,5280000,93.8,93.8,149000
"278",9,1163,1.21e+08,2.6e+08,53900000,2.26e+09,7140000,93.8,93.8,264000
"279",9,1170,3.23e+09,8.48e+08,58700000,3.01e+09,5420000,93.8,93.8,219000
"280",9,1177,1.88e+08,8320000,1070000,46900000,2530000,93.8,93.8,91600
"281",9,1186,2.19e+09,2.08e+08,34800000,1.5e+09,30900000,93.8,93.8,376000
"282",9,1195,4.95e+08,5.46e+08,6.4e+07,4.72e+09,1.09e+08,93.8,93.8,1510000
"283",9,1205,3.38e+09,9.88e+08,76900000,2.96e+09,89900000,93.8,93.8,6630000
"284",9,1211,3.63e+08,3.88e+08,28500000,2.11e+09,5e+07,93.8,93.8,398000
"285",9,1218,4.07e+08,8.34e+08,59100000,3.3e+09,55100000,93.8,93.8,336000
"286",9,1226,1.85e+08,6.58e+08,57900000,2.52e+09,7880000,93.8,93.8,101000
"287",9,1234,1.44e+09,1.28e+09,53400000,2.06e+09,4180000,93.8,93.8,26300
"288",9,1243,77600000,2.33e+08,48700000,1.85e+09,2960000,93.8,93.8,30200
"289",9,1249,1.9e+08,1.09e+09,60600000,1.94e+09,1170000,93.8,93.8,11200
"290",9,1258,1.14e+09,1.68e+09,28100000,5.03e+08,1350000,93.8,93.8,19100
"291",9,1267,22900000,2.03e+09,1.14e+08,1.1e+09,237000,93.8,93.8,483
"292",9,1273,3.74e+09,6.77e+08,6.4e+07,1.44e+09,2070000,93.8,93.8,454
"293",9,1283,1.3e+08,23600000,68300000,2.72e+09,560000,93.8,93.8,93.8
"294",9,1292,1.58e+09,1.13e+09,4.7e+07,1.99e+09,4010000,93.8,93.8,221
"295",9,1298,71800000,1400000,2540000,2.79e+08,746000,93.8,93.8,94.9
"296",9,1306,2.39e+08,60700000,29700000,3.76e+09,6020000,93.8,93.8,93.8
"297",9,1314,41800000,26200000,43100000,4.2e+09,3800000,93.8,93.8,93.8
"298",9,1324,2.46e+09,6.7e+08,72300000,4.25e+09,70700000,93.8,93.8,3620
"299",9,1331,88900000,5.01e+08,1.02e+08,4.05e+09,13600000,93.8,93.8,394
"300",9,1338,1.12e+09,5.83e+08,8.5e+07,2.88e+09,2720000,93.8,93.8,678
"301",9,1346,1.53e+09,4.98e+08,59200000,2.29e+09,755000,93.8,93.8,4500
"302",9,1355,1.09e+09,7.19e+08,57600000,1.33e+09,1360000,93.8,93.8,1280
"303",9,1362,5.91e+08,1.45e+09,66400000,1.51e+09,1610000,93.8,93.8,4040
"304",9,1372,2.94e+09,3.19e+09,67100000,9.16e+08,9240000,93.8,93.8,18200
"305",9,1378,1.03e+08,65700000,62100000,5.46e+08,1250000,93.8,93.8,2090
"306",9,1386,3.43e+08,2.71e+08,27400000,3.23e+08,2010000,93.8,93.8,8420
"307",9,1393,91700000,68800000,23100000,2.31e+08,1930000,93.8,93.8,15900
"308",9,1402,1.34e+09,2.36e+09,25700000,2.25e+08,4690000,93.8,93.8,79700
"309",9,1410,6e+08,1.79e+08,60600000,4.27e+08,5760000,93.8,93.8,2340
"310",9,1417,1.04e+09,4.46e+08,12300000,74900000,1420000,93.8,93.8,431
"311",9,1426,2.45e+09,1.21e+09,1.19e+08,1.14e+09,3790000,93.8,93.8,320
"312",9,1438,1.26e+08,72600000,7300000,24900000,163000,93.8,93.8,547
"313",9,1444,6.73e+08,7.36e+08,80900000,1.89e+08,190000,93.8,93.8,146
"314",9,1450,9.27e+08,58900000,7.3e+07,3.17e+08,90100,93.8,93.8,93.8
"315",9,1460,6.96e+08,4930000,65500000,4.61e+08,15300,93.8,93.8,93.8
"316",9,1467,1.15e+08,4.07e+08,29100000,1.26e+08,1470000,93.8,93.8,93.9
"317",9,1475,2.78e+08,1.6e+08,43500000,5.29e+08,4020000,93.8,93.8,93.8
"318",9,1490,1.71e+08,1.66e+08,65200000,5.28e+08,4030000,93.8,93.8,93.8
"319",9,1496,39600000,71900000,64500000,2.37e+08,3660000,93.8,93.8,93.8
"320",9,1506,74800000,1.33e+09,80800000,2.25e+08,3780000,93.8,93.8,93.8
"321",9,1514,19400000,6.37e+08,40300000,68500000,1400000,93.8,93.8,93.8
"322",9,1522,1.33e+08,63300000,21400000,66200000,2390000,93.8,93.8,93.8
"323",9,1530,57700000,29200000,17600000,39100000,666000,93.8,93.8,93.8
"324",9,1540,7.57e+08,1.11e+08,9030000,16300000,502000,93.8,93.8,93.8
"325",9,1546,2.97e+08,3.91e+08,9450000,9260000,1580000,93.8,93.8,93.8
"326",9,1554,3.42e+08,3.92e+08,18500000,72200000,3690000,93.8,93.8,93.8
"327",9,1560,1.39e+08,5.67e+08,8350000,5490000,316000,93.8,93.8,93.8
"1112",10,0,8.96e+09,93.8,1.66e+09,6.63e+08,52800,93.8,93.8,351
"1116",10,24,6.73e+09,93.8,8.46e+08,8.6e+08,16300,93.8,93.8,1130
"1117",10,48,2.39e+09,93.8,4.36e+08,3.67e+08,25600,93.8,93.8,93.8
"1120",10,72,1.27e+09,93.8,1.46e+08,1.93e+08,21600,93.8,93.8,442
"1123",10,96,2.21e+09,93.8,1.71e+08,3.91e+08,150000,93.8,93.8,3140
"1126",10,120,2.84e+09,549,6.82e+08,95800000,35900,93.8,93.8,93.8
"1129",10,144,8.07e+09,93.8,1.89e+09,4.27e+08,60700,93.8,93.8,93.8
"1132",10,168,3.43e+09,93.8,3.16e+08,6.74e+08,51700,93.8,93.8,93.8
"1135",10,192,5.87e+09,93.8,6.85e+08,2.16e+09,33900,93.8,93.8,93.8
"1138",10,216,3.38e+08,93.8,38100000,75300000,3680,93.8,93.8,93.8
"1141",10,240,1.26e+09,235,1.58e+08,2.13e+08,5210,93.8,93.8,93.8
"1144",10,264,6.92e+09,250,1.08e+09,1.79e+09,48600,93.8,93.8,93.8
"1147",10,288,2.19e+09,1350,2.7e+08,3.43e+08,86700,93.8,93.8,93.8
"1150",10,311,4.96e+09,3260,3.83e+08,1.07e+09,12100,93.8,93.8,93.8
"1153",10,336,3.23e+09,199000,7.15e+08,6.66e+08,15000,93.8,93.8,93.8
"1156",10,360,8.94e+09,4580000,1.32e+09,2.59e+09,156000,93.8,93.8,93.8
"1159",10,384,1.24e+10,25200000,1.66e+09,1.39e+09,354000,93.8,93.8,93.8
"1162",10,408,5.98e+09,32800000,1.05e+09,1.28e+09,31800,93.8,93.8,303
"1165",10,432,3.63e+09,28700000,5.12e+08,8.01e+08,28100,93.8,93.8,93.8
"1168",10,456,8.23e+09,3.52e+08,1.42e+09,1.13e+09,18700,93.8,93.8,93.8
"1171",10,480,1.28e+10,6.67e+08,1.56e+09,9.16e+08,16600,93.8,93.8,470
"1174",10,504,5.05e+09,5.77e+08,6.67e+08,4.9e+08,1230,93.8,93.8,93.8
"1177",10,528,1.3e+10,1e+09,1.43e+09,1.57e+09,33500,93.8,93.8,93.8
"1180",10,552,1.1e+10,1.6e+08,6.94e+08,1.97e+09,31100,93.8,93.8,93.8
"1183",10,576,5.55e+09,3.13e+08,6.14e+08,9.17e+08,79600,93.8,93.8,569
"1186",10,600,7.29e+09,7.8e+08,6.29e+08,1.16e+09,21200,93.8,93.8,93.8
"1189",10,624,1.03e+10,2.1e+08,6.74e+08,2.55e+09,7650,93.8,93.8,297
"1197",10,672,5.24e+09,4.2e+08,3.1e+08,1.55e+09,342,93.8,93.8,235
"1200",10,696,9.25e+09,1.72e+09,5.75e+08,1.08e+09,93.8,93.8,93.8,93.8
"1203",10,720,2.06e+09,3.77e+08,94500000,99600000,6730,93.8,93.8,93.8
"1206",10,744,7.33e+09,2.9e+09,6.71e+08,7.81e+08,688,93.8,93.8,93.8
"1209",10,768,4.59e+09,2.52e+09,3.31e+08,3.68e+08,260,93.8,93.8,605
"1212",10,792,5.82e+09,2.99e+09,2.37e+08,1.87e+08,93.8,93.8,93.8,93.8
"1215",10,816,1.27e+10,2.29e+09,5.65e+08,4.45e+08,432,93.8,93.8,93.8
"1218",10,840,6.73e+09,2.94e+09,2.41e+08,1.61e+08,93.8,93.8,93.8,93.8
"1221",10,864,6.15e+09,2.04e+09,2.8e+08,4.98e+08,93.8,93.8,93.8,93.8
"1224",10,888,6.96e+09,1.35e+09,2.39e+08,4.19e+08,23700,93.8,93.8,302
"1227",10,912,1.54e+10,2.69e+09,4.67e+08,2.83e+09,4950,93.8,93.8,93.8
"1230",10,936,1.05e+10,2.52e+09,3.1e+08,1.04e+10,3650,93.8,93.8,240
"1233",10,960,8.24e+09,2.34e+09,1.97e+08,3.86e+08,46900,93.8,93.8,486
"1236",10,984,1.9e+10,1.17e+09,2.19e+08,3.67e+09,10000,93.8,93.8,5700
"1239",10,1008,2.18e+09,1.03e+08,21100000,6.72e+08,266,93.8,93.8,744
"1242",10,1032,8.16e+09,4.52e+09,1.46e+08,5.1e+08,93.8,93.8,93.8,93.8
"1245",10,1056,4.79e+09,6.52e+08,1.06e+08,7.43e+08,1220,93.8,93.8,93.8
"1248",10,1080,5.85e+09,1.02e+09,2.08e+08,6.31e+08,1540,93.8,93.8,93.8
"1251",10,1104,7.06e+09,1.32e+09,2.74e+08,1.01e+09,93.8,93.8,93.8,93.8
"1254",10,1128,6.39e+09,1.34e+09,1.28e+08,3.58e+08,93.8,93.8,93.8,93.8
"1257",10,1152,1.25e+10,1.49e+09,3.29e+08,1.56e+09,414,93.8,93.8,93.8
"1260",10,1181,5.1e+09,2.25e+09,4.47e+08,8.36e+08,1530,93.8,93.8,93.8
"1262",10,1200,7.55e+09,1.77e+09,2.38e+08,5.24e+08,93.8,93.8,93.8,93.8
"1265",10,1224,6.44e+09,1.46e+09,1.67e+08,4.87e+08,93.8,93.8,93.8,93.8
"1268",10,1248,1.38e+10,4.7e+09,3.54e+08,6.48e+08,200,93.8,93.8,93.8
"1271",10,1272,6.18e+09,2.02e+09,82900000,1.13e+08,93.8,93.8,93.8,93.8
"1274",10,1296,8.86e+09,2.08e+09,1.28e+08,5.42e+08,93.8,93.8,93.8,93.8
"486",11,0,9.72e+08,7.67e+08,3.5e+07,5.77e+09,49400000,93.8,93.8,22100
"487",11,16,3.54e+08,35900000,2190000,5.95e+08,1.26e+08,93.8,113000,762000
"490",11,40,9.89e+08,60600000,6940000,1.65e+09,9.67e+08,240,12500,2670000
"493",11,65,1.6e+08,1920000,27700,5.9e+07,1.67e+09,93.8,404000,10500000
"496",11,89,8.23e+08,468000,5340,58300000,3.13e+09,230,1490000,52500000
"499",11,113,7.14e+08,282000,93.8,1.65e+08,4.94e+09,123,241000,36500000
"502",11,137,3.38e+09,49800000,1390,6.18e+09,3.21e+09,7.22e+08,3260000,4.68e+08
"505",11,161,5.28e+09,55500000,658,5.57e+09,3.99e+09,9.09e+08,4170000,5.98e+08
"508",11,185,7.8e+09,2780000,475,8.44e+09,1.4e+10,7.04e+08,26300000,1.3e+09
"511",11,209,1.89e+10,3530000,734,8.03e+09,1.89e+10,1.48e+09,1.35e+08,2.79e+09
"514",11,233,1.45e+09,36000,93.8,1.1e+09,2.2e+09,1.55e+08,7e+06,4.3e+08
"517",11,257,9.11e+08,13700,93.8,3.27e+08,2.18e+09,80900000,1580000,4.8e+08
"520",11,281,5.52e+08,15900,93.8,2.82e+08,7.92e+08,49800000,452000,1.65e+08
"523",11,305,3.25e+08,21400,93.8,1.1e+08,6.9e+08,19900000,6e+05,1.66e+08
"526",11,329,1.18e+09,15600,93.8,1.09e+09,1.69e+09,94400000,418000,4.98e+08
"529",11,377,4.64e+08,15100,93.8,8380000,1.27e+09,32800000,10700000,1.38e+08
"532",11,401,91200000,4440,93.8,730000,2.31e+08,5830000,2530000,2.2e+07
"535",11,425,5.55e+09,10200,93.8,4420000,1.07e+10,6.87e+08,4.92e+08,1.91e+09
"538",11,449,4.83e+09,136000,93.8,2.37e+08,8.1e+09,3.06e+08,1.22e+08,1.52e+09
"541",11,473,57200000,93.8,93.8,27400000,1.46e+08,620000,34200,17100000
"544",11,497,1.05e+09,93.8,93.8,1.27e+09,2.22e+09,8790000,85800,2.36e+08
"547",11,521,1.22e+09,93.8,93.8,9.11e+08,3e+09,1.86e+08,424000,2.77e+08
"550",11,545,2.65e+09,93.8,93.8,2.39e+09,5.29e+09,3.5e+08,837000,1.46e+09
"553",11,569,1.26e+09,93.8,93.8,8.35e+08,2.67e+09,1.93e+08,2890000,1.01e+09
"556",11,593,1.73e+08,93.8,93.8,2.8e+07,3.83e+08,18800000,493000,81600000
"559",11,617,6.76e+08,93.8,93.8,1.13e+08,9.96e+08,67800000,2780000,3.25e+08
"562",11,641,3.3e+09,93.8,93.8,9.84e+08,8.81e+09,1.55e+08,8940000,1.54e+09
"565",11,665,3.38e+08,93.8,93.8,52500000,6.66e+08,14700000,1160000,95600000
"568",11,713,1.83e+08,212,93.8,11500000,5.9e+08,14200000,937000,6e+07
"571",11,737,1.59e+09,166,93.8,14700000,1.01e+10,1.16e+08,2.7e+07,1.09e+09
"574",11,761,4.66e+08,93.8,93.8,15200000,1.23e+09,21600000,3250000,2.74e+08
