"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"577",11,785,3.35e+09,93.8,93.8,2.42e+08,1.41e+10,4.27e+08,22700000,2.69e+09
"580",11,809,4.58e+08,93.8,93.8,12700000,9.08e+08,25300000,1240000,1.61e+08
"583",11,833,5.58e+08,93.8,93.8,41400000,1.08e+09,50700000,2940000,3.12e+08
"586",11,857,2.34e+08,93.8,93.8,8840000,8.48e+08,19700000,1070000,1.51e+08
"589",11,881,3.92e+08,93.8,93.8,19100000,9.45e+08,22300000,2600000,1.72e+08
"592",11,905,2.36e+08,93.8,93.8,6160000,7.92e+08,7630000,1510000,1.19e+08
"595",11,929,66500000,93.8,93.8,4370000,2.97e+08,2590000,655000,62600000
"598",11,953,1.06e+08,93.8,93.8,992000,2.72e+08,2630000,1380000,47800000
"604",11,1001,1.33e+09,93.8,93.8,52800000,3.66e+09,84100000,24300000,1.08e+09
"606",11,1025,7.58e+08,93.8,93.8,64100000,1.99e+09,9e+07,2440000,2.65e+08
"609",11,1049,3.15e+08,93.8,93.8,1.68e+08,1.15e+09,9150000,431000,2.11e+08
"612",11,1073,4.8e+08,93.8,93.8,7440000,2.04e+09,36700000,28600000,1.53e+08
"615",11,1097,1.14e+08,93.8,93.8,2950000,1.34e+09,18300000,10900000,1.08e+08
"618",11,1121,9.7e+08,93.8,93.8,26300000,2.37e+09,57200000,26300000,2.45e+08
"621",11,1145,7.57e+08,93.8,93.8,5080000,2.08e+09,3.2e+07,32500000,2.79e+08
"624",11,1169,1.66e+09,93.8,93.8,5700000,3.46e+09,1.11e+08,43800000,4.64e+08
"627",11,1193,2.2e+09,142,93.8,1.53e+08,6.02e+09,2.9e+08,5520000,1.06e+09
"630",11,1217,4.15e+09,93.8,93.8,6.62e+08,1.29e+10,4.2e+08,14900000,1.45e+09
"633",11,1241,9.4e+09,93.8,93.8,2.17e+08,1.22e+10,5.12e+08,2.48e+08,2.51e+09
"636",11,1265,9.02e+09,93.8,93.8,3.05e+09,2.44e+10,5.43e+08,1.59e+08,4.49e+09
"639",11,1289,1.99e+09,93.8,93.8,2.98e+08,2.54e+09,1.35e+08,43300000,7.78e+08
"642",11,1313,2.5e+09,93.8,93.8,5e+08,3.18e+09,1.01e+08,11900000,6.34e+08
"645",11,1337,3.6e+08,93.8,93.8,7.3e+07,7.04e+08,18600000,3800000,1.66e+08
"648",11,1361,1.92e+08,93.8,93.8,1.26e+08,3.22e+08,3080000,107000,36500000
"651",11,1385,6.21e+08,150,93.8,6.47e+08,1.33e+09,13900000,477000,1.02e+08
"2719",12,0,5.16e+10,93.8,124000,98100000,4.02e+08,1.22e+08,849000,93.8
"2720",12,19,8.4e+10,93.8,281000,2.67e+08,1.43e+09,1.29e+08,4700000,93.8
"2723",12,43,9.35e+09,93.8,4400,1.35e+08,2.39e+08,14900000,742000,93.8
"2726",12,67,3.33e+10,93.8,93.8,1.5e+08,9.63e+08,18100000,3620000,93.8
"2729",12,90,1.96e+09,93.8,93.8,17400000,1.24e+08,1720000,297000,93.8
"2732",12,113,2.3e+10,292,93.8,19200000,5.12e+08,9690000,2640000,93.8
"2735",12,138,4.66e+10,93.8,1700,20600000,8.52e+08,1.08e+08,7740000,93.8
"2738",12,161,8.57e+09,93.8,1090,1.06e+08,5.02e+08,65900000,279000,93.8
"2740",12,188,2.37e+09,93.8,93.8,69200000,3.01e+08,1250000,6350,93.8
"2741",12,224,1.82e+10,93.8,93.8,3.31e+09,1.91e+09,1.96e+08,64600,93.8
"2742",12,234,5.63e+10,93.8,93.8,4.98e+09,4.46e+09,4.85e+08,1220000,93.8
"2745",12,257,1.22e+10,93.8,93.8,5.74e+08,1.18e+09,88300000,1470000,93.8
"2748",12,283,1.71e+10,93.8,93.8,6.27e+08,1.96e+09,83800000,615000,93.8
"2751",12,308,1.15e+10,93.8,93.8,8.5e+08,1.08e+09,49700000,140000,93.8
"2754",12,329,1.1e+10,93.8,7520,3.75e+08,8.39e+08,67100000,60500,93.8
"2757",12,361,3.06e+10,93.8,164000,2.09e+09,2.22e+09,1.88e+08,13000,93.8
"2758",12,380,1.01e+10,93.8,32600,6.79e+08,7.2e+08,99700000,7080,93.8
"2760",12,401,8.57e+09,93.8,45000,2.23e+09,8.81e+08,76700000,160000,93.8
"2763",12,428,1.42e+09,93.8,13100,1.52e+08,1.68e+08,11700000,5950,93.8
"2766",12,451,2.14e+09,93.8,4970,4.15e+08,2.45e+08,21100000,4910,93.8
"2768",12,476,7.77e+09,93.8,66300,1.3e+09,5.68e+08,81300000,33000,93.8
"2770",12,500,6.32e+08,93.8,2100,1e+08,6.3e+07,1380000,547,93.8
"2772",12,523,4e+10,93.8,1810000,1.89e+09,2.64e+09,1.65e+08,16200,93.8
"2775",12,548,2.82e+09,93.8,191000,4.6e+08,2.72e+08,17700000,644,93.8
"2776",12,569,4.48e+09,93.8,673000,6.75e+08,2.73e+08,45600000,5750,93.8
"2779",12,593,1.4e+10,93.8,137000,1.69e+09,9.47e+08,1.94e+08,1130,93.8
"2781",12,618,5.23e+09,93.8,26500,6.77e+08,3.91e+08,27800000,2020,93.8
"2783",12,649,1.03e+10,93.8,1420000,1.69e+09,1.02e+09,79200000,4820,93.8
"2785",12,665,1.97e+10,93.8,108000,1.85e+09,1.08e+09,1.94e+08,897,93.8
"2788",12,691,2.43e+09,93.8,426000,7.5e+08,2.67e+08,7040000,577,93.8
"2791",12,721,2e+10,93.8,22500,9.98e+08,1.26e+09,59700000,21500,93.8
"2793",12,737,4.04e+10,93.8,18000,1.78e+09,3.01e+09,3.7e+08,286000,93.8
"2796",12,760,5.61e+09,93.8,189000,3.35e+08,3e+08,4920000,122000,93.8
"2798",12,787,9.41e+09,93.8,46300,3.46e+08,5.48e+08,2310000,97700,93.8
"2800",12,809,4.13e+09,93.8,6480,5.3e+07,2.35e+08,359000,77800,93.8
"2801",12,835,9.13e+09,93.8,1230,3.4e+07,3.35e+08,2850000,557000,93.8
"2802",12,857,1.9e+07,93.8,454,2490000,3090000,215000,93.8,93.8
"2805",12,883,3.15e+09,93.8,46900,5.22e+08,3.54e+08,22700000,25800,93.8
"2808",12,907,1170000,93.8,93.8,144000,284000,19800,93.8,93.8
"2811",12,931,3.77e+08,93.8,3710,3.4e+07,53400000,2030000,4530,93.8
"2814",12,954,3.2e+10,93.8,83800,6.55e+09,3.09e+09,1.59e+08,111000,93.8
"2817",12,979,6.09e+09,93.8,18500,5.38e+08,4.24e+08,22400000,112000,93.8
"2818",12,1001,3.97e+09,93.8,694,3.58e+08,3.84e+08,35100000,60700,93.8
"2821",12,1027,1.51e+09,93.8,10600,3.03e+08,1.5e+08,15500000,20900,93.8
"2823",12,1049,1.11e+10,369,93.8,2.04e+09,1.08e+09,63800000,22500,93.8
"2826",12,1073,3.74e+09,1110,11100,3.78e+08,4.3e+08,28600000,33300,93.8
"2829",12,1097,1.7e+10,276,93.8,3.22e+09,1.06e+09,1.27e+08,12800,93.8
"2832",12,1121,1.19e+09,93.8,13300000,4.97e+08,71300000,1760000,3460,715
"2835",12,1145,5.65e+09,93.8,6880000,3.48e+09,2.13e+08,870000,93.8,93.8
"2837",12,1181,1.59e+09,415,1590000,1.14e+09,23300000,273000,93.8,93.8
"2838",12,1193,1.69e+10,1330,17900000,7.92e+09,8.52e+08,2e+08,93.8,93.8
"2841",12,1219,2.28e+09,93.8,4680000,1.71e+09,5.09e+08,12500000,93.8,93.8
"2843",12,1241,9.12e+09,93.8,5020000,3.03e+09,6.26e+08,15300000,93.8,93.8
"2846",12,1264,1.33e+09,93.8,1840000,4.72e+08,1.54e+08,10900000,93.8,93.8
"1277",13,0,3.27e+09,93.8,93.8,3.84e+08,194,93.8,93.8,93.8
"1278",13,20,1.19e+10,93.8,93.8,1.33e+09,93.8,93.8,93.8,93.8
"1281",13,52,3.54e+09,93.8,93.8,5.98e+08,4110,93.8,93.8,1220
"1284",13,66,1.03e+10,93.8,93.8,1.3e+09,1370,93.8,93.8,93.8
"1287",13,93,1.43e+10,93.8,93.8,6.85e+08,2120,93.8,93.8,1400
"1290",13,117,1.72e+10,93.8,93.8,2.57e+09,3890,93.8,93.8,1580
"1293",13,137,1.41e+10,93.8,93.8,1.7e+09,436,93.8,93.8,93.8
"1296",13,161,1.47e+10,93.8,93.8,1.73e+09,616,93.8,93.8,93.8
"1299",13,185,9.31e+09,93.8,93.8,2.68e+09,3420,93.8,93.8,871
"1302",13,214,6.13e+09,93.8,93.8,2.95e+09,845,93.8,93.8,295
"1305",13,237,7.54e+09,93.8,93.8,2.04e+09,276,93.8,93.8,93.8
"1308",13,257,1.95e+10,1090,93.8,3.67e+09,2610000,4180,1040,12400
"1311",13,281,9.67e+09,93.8,93.8,2.21e+09,751000,93.8,93.8,1940
"1314",13,305,1.32e+10,93.8,93.8,2.14e+09,39000,93.8,93.8,917
"1317",13,333,5.32e+09,93.8,93.8,1.38e+09,15500,93.8,93.8,309
"1320",13,357,8.28e+09,93.8,93.8,1.85e+09,13200,93.8,93.8,2130
"1323",13,377,8.55e+09,93.8,93.8,1.83e+09,2490,93.8,93.8,260
"1326",13,401,1.05e+10,93.8,93.8,1.55e+09,1060,93.8,93.8,93.8
"1329",13,429,1.08e+10,283,93.8,8.01e+08,106000,93.8,1070,1160
"1332",13,453,1.94e+10,93.8,93.8,2.03e+09,36800,93.8,93.8,724
"1335",13,473,2.95e+10,93.8,93.8,5.22e+09,761000,59300,9560,46200
"1338",13,497,9.86e+09,740,93.8,2.5e+09,254000,3360,317,3530
"1341",13,522,9.13e+09,93.8,93.8,1.93e+09,329000,549,93.8,1720
"1344",13,549,6.45e+09,93.8,93.8,8.31e+08,10400,416,93.8,6980
"1347",13,573,1.21e+10,93.8,93.8,9.45e+08,3460,93.8,93.8,505
"1350",13,594,1.2e+10,93.8,93.8,1.39e+09,1360,93.8,93.8,93.8
"1353",13,618,1.25e+10,93.8,93.8,1.28e+09,321,93.8,93.8,93.8
"1356",13,642,1.58e+10,93.8,93.8,1.58e+09,569,93.8,93.8,93.8
"1359",13,669,7.24e+09,93.8,93.8,1.37e+09,93.8,93.8,93.8,93.8
"1361",13,691,8.31e+09,853000,4250,8.04e+08,201000,10800,273,9790
"1365",13,717,9.5e+09,16000,93.8,5.29e+09,532000,93.8,93.8,93.8
"1368",13,737,8.94e+09,64100,93.8,1.8e+09,78100,93.8,93.8,275
"1371",13,764,9.79e+09,782000,31800,1.62e+09,53200,93.8,93.8,992
"1377",13,809,9.23e+08,2950000,4000,4.61e+08,93.8,93.8,93.8,93.8
"1380",13,833,2.1e+09,19900000,3250,6.45e+08,93.8,93.8,93.8,93.8
"1383",13,857,1.39e+10,1.67e+09,25000,1.75e+09,234,93.8,93.8,93.8
"1386",13,883,1.31e+10,3.13e+09,39200,2.07e+09,19700,93.8,93.8,337
"1389",13,908,1.38e+10,5.09e+09,34900,1.5e+09,110000,3580,93.8,8330
"1392",13,929,1.3e+10,3.89e+09,292000,1.45e+09,10600,93.8,93.8,253
"1395",13,954,8.38e+09,3.5e+09,234000,2.29e+08,347000,1530,93.8,2640
"1398",13,977,9.78e+09,8e+09,474000,1.38e+08,95400,93.8,93.8,93.8
"1401",13,1004,7.33e+09,3.8e+09,3340000,1.32e+08,22300,93.8,93.8,93.8
"1404",13,1029,5.98e+09,2.38e+09,7010000,67700000,7660,93.8,93.8,246
"1407",13,1049,6.88e+09,2.66e+09,3910000,9610000,332000,198,525,2310
"1410",13,1074,6.6e+09,7.06e+09,12300000,1940000,35400,93.8,93.8,220
"1413",13,1101,6.74e+09,5.64e+09,13800000,1030000,17200,93.8,93.8,93.8
"1416",13,1127,9.96e+09,5.84e+09,9260000,139000,34800,93.8,93.8,420
"1419",13,1146,8.81e+09,4.16e+09,9270000,48100,9350,93.8,93.8,93.8
"1422",13,1169,8.64e+09,6.46e+09,7970000,498000,1960,93.8,93.8,93.8
"1425",13,1194,4.75e+09,1.93e+09,1.4e+07,272000,220000,31700,1310,9180
"1428",13,1220,5.58e+09,4.69e+09,19400000,215000,17900,1830,93.8,857
"1431",13,1245,7e+09,5.42e+09,32800000,435000,70800,93.8,93.8,565
"1434",13,1266,4.59e+09,3.54e+09,17600000,73600,3480,93.8,93.8,93.8
"1437",13,1290,5.5e+09,4.2e+09,30900000,85300,218,93.8,93.8,93.8
"1440",13,1313,1e+10,4e+09,11500000,13000,19500,478,93.8,3610
"1443",13,1340,1.3e+10,8.83e+09,1.4e+07,8390,19300,2010,93.8,6770
"972",14,0,4.43e+09,93.8,1.73e+08,1.8e+09,1880000,93.8,93.8,93.8
"973",14,44,7.01e+09,93.8,3.55e+08,3.32e+09,4360000,8590,93.8,1650
"976",14,66,7.06e+09,93.8,2.13e+08,3.28e+09,1910000,491,93.8,93.8
"978",14,85,1.48e+10,93.8,2.62e+08,4.68e+09,977000,5700,93.8,1120
"981",14,110,7.24e+09,93.8,76500000,2.44e+09,293000,93.8,93.8,293
"983",14,133,7.81e+09,93.8,1.35e+08,6.07e+09,446000,93.8,93.8,93.8
"986",14,181,9.67e+09,93.8,2.58e+08,3.15e+09,22800000,93.8,93.8,93.8
"988",14,208,2.57e+09,93.8,52600000,6e+08,41700000,93.8,93.8,271
"991",14,232,6.78e+09,93.8,2.14e+08,2.79e+09,4030000,93.8,93.8,1530
"994",14,253,1.13e+10,93.8,5.74e+08,3.6e+09,533000,93.8,93.8,202
"997",14,277,1.04e+10,93.8,3.65e+08,3.43e+09,304000,93.8,93.8,342
"999",14,301,8.91e+09,93.8,2.37e+08,3.37e+09,202000,93.8,93.8,419
"1002",14,325,8.32e+09,93.8,5.39e+08,3.08e+09,181000,93.8,93.8,93.8
"1004",14,349,6.33e+09,93.8,69500000,2.62e+09,297000,381,93.8,849
"1006",14,376,1.12e+10,93.8,2.39e+08,3.57e+09,280000,523,93.8,1040
"1009",14,400,1.38e+10,93.8,3.1e+08,4.92e+09,341000,93.8,93.8,93.8
"1012",14,421,9.86e+09,93.8,5.39e+08,3.28e+09,157000,93.8,93.8,93.8
"1015",14,446,8.08e+09,93.8,2.78e+08,3.08e+09,467000,93.8,93.8,301
"1018",14,469,3.6e+09,93.8,6.5e+07,1.15e+09,211000,93.8,93.8,309
"1021",14,496,1.07e+10,93.8,4.36e+08,3.47e+09,198000,93.8,93.8,762
"1023",14,520,1.15e+10,93.8,1.66e+08,3.57e+09,291000,93.8,93.8,93.8
"1026",14,548,2.73e+09,93.8,1.8e+08,8.86e+08,23600,93.8,93.8,93.8
"1028",14,575,7.54e+09,93.8,4.24e+08,1.77e+09,26600,93.8,93.8,93.8
"1029",14,604,7.07e+09,93.8,4.97e+08,2.15e+09,24300,93.8,93.8,93.8
"1030",14,614,1.05e+10,93.8,5.26e+08,2.19e+09,63100,93.8,93.8,93.8
"1033",14,638,6.53e+09,93.8,1.98e+08,2.05e+09,175000,93.8,93.8,93.8
"1036",14,662,1.9e+09,93.8,3.2e+07,5.69e+08,131000,93.8,93.8,93.8
"1039",14,781,1.22e+10,93.8,4.72e+08,3.22e+09,3890000,93.8,93.8,23400
"1042",14,806,6.07e+09,93.8,2.28e+08,1.36e+09,13900000,93.8,93.8,70400
"1044",14,830,1.38e+10,93.8,3.4e+08,3.32e+09,20200000,93.8,93.8,477000
"1047",14,854,9.15e+09,93.8,2.09e+08,3.05e+09,7770000,93.8,93.8,63000
"1050",14,879,1.43e+10,93.8,3.32e+08,4.61e+09,1260000,93.8,93.8,42800
"1053",14,904,1.59e+10,93.8,3.1e+08,7.78e+09,235000,93.8,93.8,1720
"1056",14,926,5.41e+09,93.8,1.5e+08,1.47e+09,817000,93.8,93.8,52600
"1059",14,950,1.66e+10,93.8,3.9e+08,5.32e+09,370000,93.8,93.8,965
"1062",14,973,8.28e+09,93.8,2.47e+08,3.15e+09,332000,93.8,93.8,189
"1065",14,997,9.39e+09,93.8,3.38e+08,2.74e+09,723000,93.8,93.8,334
"1068",14,1021,1.65e+10,93.8,4.16e+08,4.25e+09,270000,93.8,93.8,797
"1071",14,1049,1.12e+10,93.8,1.92e+08,2.97e+09,67500,93.8,93.8,93.8
"1073",14,1084,1.62e+10,93.8,3.04e+08,6.17e+09,160000,93.8,93.8,93.8
"1075",14,1093,9.1e+09,93.8,1.95e+08,3.04e+09,66200,93.8,93.8,93.8
"1076",14,1120,1.74e+10,93.8,4.65e+08,8.13e+09,226000,93.8,93.8,93.8
"1079",14,1144,1.6e+10,1200,7.69e+08,6.1e+09,132000,93.8,93.8,93.8
"1082",14,1167,1.33e+10,28600,5.33e+08,3.46e+09,151000,93.8,93.8,93.8
"1084",14,1193,1.27e+10,93.8,2.67e+08,3.12e+09,320000,93.8,93.8,93.8
"1087",14,1218,1.55e+10,93.8,4.9e+08,4.23e+09,87600,93.8,93.8,93.8
"1090",14,1254,1.81e+10,93.8,4.22e+08,5.8e+09,28200,93.8,93.8,297
"1091",14,1267,8.16e+09,93.8,4.02e+08,2.66e+09,6040,93.8,93.8,93.8
"1094",14,1290,1.83e+10,93.8,7.38e+08,6.15e+09,9730,93.8,93.8,93.8
"1096",14,1320,1.23e+10,93.8,4.13e+08,4.06e+09,6810,93.8,93.8,93.8
"1098",14,1336,3.51e+09,93.8,77100000,9.12e+08,4800,93.8,93.8,93.8
"1100",14,1362,1.01e+10,93.8,3.42e+08,2.62e+09,376,93.8,93.8,93.8
"1102",14,1377,1.26e+09,93.8,48300000,4.31e+08,93.8,93.8,93.8,93.8
"1106",14,1410,1.36e+10,93.8,3.31e+08,3.92e+09,15900,93.8,93.8,93.8
"1109",14,1429,1.25e+10,93.8,2.96e+08,2.57e+09,309000,93.8,93.8,93.8
"2393",15,0,2.12e+10,2.5e+08,141000,1.31e+09,5.41e+09,6.2e+08,4.6e+08,9.82e+08
"2396",15,24,2.94e+08,77600000,98300,44200000,1.54e+08,3580000,4630000,2960000
"2399",15,46,4.59e+08,74800000,1.34e+08,32400000,1.9e+07,1620000,1130000,748000
"2402",15,72,3.07e+09,4.97e+08,6.95e+08,5.97e+08,4.57e+08,5110000,5090000,6640000
"2405",15,97,1.17e+10,1.03e+10,3.44e+09,3.96e+09,8.74e+08,450000,246000,13700000
"2407",15,118,1.61e+09,2.23e+08,2.16e+08,6.91e+08,6.05e+08,31400,2310000,46100000
"2410",15,144,5.38e+09,32600000,2410000,7.22e+08,2.9e+08,48500,1470000,12600000
"2413",15,168,2.04e+10,1.08e+08,4690000,1.93e+09,5.02e+09,18500,72200000,2.12e+08
"2416",15,190,2.78e+10,2.08e+08,29800000,6.43e+09,3.99e+09,1.73e+08,56700000,2.26e+08
"2418",15,215,8.29e+10,1.69e+08,1270000,1.59e+09,2.32e+08,9.8e+08,2.18e+08,6.74e+08
"2421",15,239,8.73e+10,42700000,142000,9.35e+08,90800000,1.52e+09,3.96e+08,1.51e+09
"2424",15,263,1.22e+11,29900000,542000,9.21e+08,1.93e+08,1.6e+09,2.59e+08,1.89e+09
"2427",15,289,7.55e+10,14800000,272000,2.39e+09,1.57e+08,1.6e+09,11600000,4.89e+09
"2430",15,310,3.3e+10,7800000,13400,1.58e+09,3.13e+08,2.58e+09,76500000,5.65e+09
"2433",15,334,1.21e+09,2120000,35000,1.06e+08,22500000,15400000,2410000,2.07e+08
"2436",15,360,2.1e+08,3100000,53400000,76100000,2590000,298000,28200,3340000
"2439",15,382,2.81e+08,1.6e+07,93900000,41200000,2650000,214000,15500,1820000
"2442",15,406,1.16e+08,6440000,26400000,42600000,552000,51500,12000,656000
"2445",15,432,3.01e+08,29100000,63400000,7.9e+07,5780000,4950,543,59300
"2448",15,454,1.69e+08,5760000,43800000,36500000,4610000,879,198,9720
"2451",15,481,2.93e+09,5.61e+08,1.86e+08,2.09e+09,4050000,74800,10100,80700
"2454",15,502,2.6e+09,3.46e+08,2.73e+08,2.8e+09,1570000,60900,2070,5680
"2457",15,525,4.95e+09,1.05e+09,4.5e+08,6.28e+09,5310000,19100,760,44400
"2460",15,551,5.5e+09,2.43e+09,4.54e+08,3.3e+09,21400000,15300,337,29000
"2463",15,575,4.6e+09,2e+09,4.89e+08,5.52e+09,2e+08,6410,93.8,5480
"2466",15,598,6.98e+09,3.16e+09,5.02e+08,4.29e+09,2.64e+08,12200,229,10300
"2469",15,621,6.03e+09,93500000,6.27e+08,3.51e+09,1.27e+09,72700000,379000,39800000
"2472",15,647,7.95e+10,28700000,52600000,6.68e+09,7.07e+09,1.8e+09,50300000,7.63e+08
"2475",15,669,2.2e+10,1.2e+07,1.2e+07,2.41e+09,3.43e+09,4.35e+08,49200000,3.63e+08
"2478",15,695,1.94e+10,12700000,11300000,9.05e+08,3.29e+09,34500000,2.35e+08,5.14e+08
"2481",15,718,1.59e+10,25300000,2900000,1.66e+09,5.31e+09,3390000,2.04e+08,3.17e+08
"2484",15,743,3.03e+09,7980000,275000,1.73e+09,8.02e+08,950000,62300000,56200000
"2486",15,766,1.05e+10,55200000,421000,3.28e+09,1.31e+09,5100000,56400000,1.22e+08
"2489",15,789,9.52e+09,1.53e+08,4710000,9.03e+09,8.51e+08,13300000,3e+07,87900000
"2492",15,815,1.87e+10,4.41e+08,6920000,1.5e+10,4.1e+08,2.14e+08,32600000,1.23e+08
"2495",15,840,4.32e+09,65300000,225000,2.6e+09,18800000,10500,20200,272000
"2498",15,865,2.31e+10,2.86e+08,7290000,1.72e+10,9.08e+08,5650000,1740000,25800000
"2501",15,890,2.23e+10,1.33e+08,6700000,3.6e+09,2.02e+09,1.09e+08,9840000,87300000
"2504",15,912,3.07e+10,1.98e+08,3690000,4.95e+09,1.57e+09,6.21e+08,55300000,3.24e+08
"2508",15,936,3.59e+10,1.46e+08,3330000,8.22e+09,1.85e+09,6.93e+08,48300000,5.34e+08
"2513",15,958,9.79e+10,2.54e+08,3620000,7.45e+09,3.6e+09,1.03e+09,1.67e+08,1.19e+09
"2516",15,983,2.43e+10,3.8e+08,6620000,1.42e+10,2.62e+09,2.87e+08,59600000,1.1e+09
"2519",15,1006,7.24e+10,2.26e+08,3120000,1.47e+10,7.81e+09,9.92e+08,1.74e+08,3.24e+09
"2522",15,1030,2.15e+10,2.75e+08,6240000,2.3e+10,3.09e+09,1.23e+09,2.69e+08,3.77e+09
"2525",15,1055,7.12e+10,1.43e+08,6900000,2.13e+10,3.66e+09,1.54e+09,2.19e+08,4.79e+09
"2528",15,1080,2.16e+10,5.11e+08,10300000,1.26e+10,8.74e+08,4.81e+08,1.52e+08,1.6e+09
"2531",15,1105,3e+10,43100000,1080000,1.05e+10,2.09e+09,8.12e+08,6.14e+08,2.94e+09
"2534",15,1127,7.37e+10,17500000,206000,2e+10,4.45e+09,5.71e+08,5.01e+08,4.25e+09
"2537",15,1153,4.96e+09,2670000,6050,5.01e+09,2.67e+08,19200000,6660000,3.21e+08
"2540",15,1178,1.3e+10,25100000,242000,1.01e+10,9.87e+08,4.37e+08,89300000,1.1e+09
"2543",15,1201,2.77e+10,2.35e+08,3130000,1.31e+10,1.51e+09,8.77e+08,5.58e+08,2.26e+09
"2546",15,1223,2.72e+10,1.63e+08,6400000,1.62e+10,1.45e+09,1.51e+09,9.12e+08,2.5e+09
"2549",15,1247,1.93e+10,1.5e+08,4170000,8.96e+09,6.2e+08,9.17e+08,4.48e+08,1.27e+09
"2552",15,1274,1.85e+10,1.24e+09,7660000,2.05e+10,9.11e+08,1.1e+09,6.52e+08,1.15e+09
"2555",15,1297,2.56e+10,9.4e+08,8440000,2.07e+10,5.49e+08,1.8e+09,8.1e+08,2.19e+09
"2558",15,1321,2.69e+10,1.41e+09,11900000,1.6e+10,7.8e+08,3.02e+09,3.53e+08,1.13e+09
"1611",16,0,2.36e+09,1.51e+09,26000,19100000,1070000,93.8,93.8,93.8
"1612",16,18,92300000,33900000,6480,3160000,49800,93.8,93.8,93.8
"1615",16,41,5.77e+09,3.15e+09,72400,15900000,1270000,93.8,93.8,93.8
"1617",16,70,3.34e+08,1.42e+08,1250,491000,29300,93.8,93.8,93.8
"1619",16,96,1.17e+09,5.25e+08,33200,76600000,1150000,93.8,93.8,93.8
"1621",16,116,3.52e+09,3.5e+08,87700,4.07e+09,19300000,93.8,93.8,93.8
"1623",16,141,3e+09,1.15e+08,1920000,1.09e+09,4410000,93.8,93.8,93.8
"1625",16,166,2.02e+09,4.25e+08,92900,1.46e+09,689000,93.8,93.8,93.8
"1627",16,191,2.66e+08,3.6e+07,41000,1.78e+08,71800,93.8,93.8,93.8
"1630",16,216,7.09e+08,2.48e+08,79200,1.91e+08,67000,93.8,93.8,93.8
"1632",16,239,9.03e+08,3.89e+08,158000,94200000,7430,93.8,93.8,93.8
